product_id,product_name,wood_species,region_wood,category,price_eur
W032,Arboré Héritage Oak,Oak,Balkans,Arboré Héritage,930
W033,Arboré Voyage Oak,Oak,Balkans,Arboré Voyage,580
W038,Arboré Élégance Oak,Oak,Balkans,Arboré Élégance,355
w008,Arboré Essentiel Oak,Oak,Balkans,Arboré Essentiel,165
w026,Arboré Héritage Beech,Beech,Austria,Arboré Héritage,950
w039,Arboré Voyage Beech,Beech,Austria,Arboré Voyage,600
w023,Arboré Élégance Beech,Beech,Austria,Arboré Élégance,375
W040,Arboré Essentiel Beech,Beech,Austria,Arboré Essentiel,185
W021,Arboré Héritage Chestnut,Chestnut,France,Arboré Héritage,980
w024,Arboré Voyage Chestnut,Chestnut,France,Arboré Voyage,630
w029,Arboré Élégance Chestnut,Chestnut,France,Arboré Élégance,405
W036,Arboré Essentiel Chestnut,Chestnut,France,Arboré Essentiel,215
W029,Arboré Héritage Ash,Ash,Germany,Arboré Héritage,930
w043,Arboré Voyage Ash,Ash,Germany,Arboré Voyage,580
w030,Arboré Élégance Ash,Ash,Germany,Arboré Élégance,355
w044,Arboré Essentiel Ash,Ash,Germany,Arboré Essentiel,165
w007,Arboré Héritage Olive,Olive,Greece,Arboré Héritage,950
W003,Arboré Voyage Olive,Olive,Greece,Arboré Voyage,600
W030,Arboré Élégance Olive,Olive,Greece,Arboré Élégance,375
W031,Arboré Essentiel Olive,Olive,Greece,Arboré Essentiel,185
W005,Arboré Héritage Birch,Birch,Sweden,Arboré Héritage,950
W004,Arboré Voyage Birch,Birch,Sweden,Arboré Voyage,600
W008,Arboré Élégance Birch,Birch,Sweden,Arboré Élégance,375
W002,Arboré Essentiel Birch,Birch,Sweden,Arboré Essentiel,185
W027,Arboré Héritage Maple,Maple,Canada,Arboré Héritage,950
W042,Arboré Voyage Maple,Maple,Canada,Arboré Voyage,600
W020,Arboré Élégance Maple,Maple,Canada,Arboré Élégance,375
w012,Arboré Essentiel Maple,Maple,Canada,Arboré Essentiel,185
W043,Arboré Héritage Walnut,Walnut,USA,Arboré Héritage,960
W028,Arboré Voyage Walnut,Walnut,USA,Arboré Voyage,610
w031,Arboré Élégance Walnut,Walnut,USA,Arboré Élégance,385
w027,Arboré Essentiel Walnut,Walnut,USA,Arboré Essentiel,195
w040,Arboré Héritage Cherry,Cherry,USA,Arboré Héritage,960
w003,Arboré Voyage Cherry,Cherry,USA,Arboré Voyage,610
W012,Arboré Élégance Cherry,Cherry,USA,Arboré Élégance,385
W039,Arboré Essentiel Cherry,Cherry,USA,Arboré Essentiel,195
W014,Arboré Héritage Redwood,Redwood,USA,Arboré Héritage,970
W045,Arboré Voyage Redwood,Redwood,USA,Arboré Voyage,620
W048,Arboré Élégance Redwood,Redwood,USA,Arboré Élégance,395
